raid_number,return_type,return_locatiion,return_result
1,Returned Safely,Blue Gate,10772
2,Returned Safely,Spaceport,14176
3,Returned Safely,Spaceport,323449
4,Returned Safely,Spaceport,517562
5,Returned Safely,Dam Battlegrounds,10244
6,Knocked Out,Buried City,28916
7,Returned Safely,Buried City,32049
8,Returned Safely,Buried City,544891
9,Returned Safely,Dam Battlegrounds,314795
10,Knocked Out,Spaceport,33117
11,Returned Safely,Spaceport,17491
12,Returned Safely,Spaceport,527676
13,Returned Safely,Dam Battlegrounds,33089
14,Knocked Out,Blue Gate,32918
15,Returned Safely,Buried City,53775
16,Returned Safely,Buried City,14287
17,Returned Safely,Dam Battlegrounds,1320
18,Returned Safely,Dam Battlegrounds,515202
19,Returned Safely,Dam Battlegrounds,541383
20,Returned Safely,Dam Battlegrounds,517242
21,Returned Safely,Buried City,316262
22,Returned Safely,Buried City,2803
23,Returned Safely,Buried City,24801
24,Returned Safely,Dam Battlegrounds,535502
25,Returned Safely,Buried City,2013
26,Returned Safely,Buried City,16142
27,Knocked Out,Buried City,30882
28,Returned Safely,Dam Battlegrounds,36743
29,Knocked Out,Blue Gate,522469
30,Returned Safely,Spaceport,42319
31,Knocked Out,Spaceport,47259
32,Knocked Out,Blue Gate,535170
33,Returned Safely,Spaceport,15078
34,Returned Safely,Spaceport,537257
35,Returned Safely,Spaceport,525509
36,Returned Safely,Dam Battlegrounds,536474
37,Returned Safely,Dam Battlegrounds,13402
38,Knocked Out,Dam Battlegrounds,23888
39,Returned Safely,Dam Battlegrounds,23807
40,Returned Safely,Dam Battlegrounds,25213
41,Knocked Out,Dam Battlegrounds,515344
42,Returned Safely,Dam Battlegrounds,530566
43,Returned Safely,Dam Battlegrounds,15925
